"DATE","CITY_COUNT_FULLY_CUMULATIVE","CITY_COUNT_1PLUS_CUMULATIVE","CITY_COUNT_ADDITIONAL_CUMULATIVE","CITY_PERC_FULLY","CITY_PERC_1PLUS","CITY_PERC_ADDITIONAL","CITY_PERC_BIVALENT_ADDITIONAL","BK_COUNT_FULLY_CUMULATIVE","BK_COUNT_1PLUS_CUMULATIVE","BK_COUNT_ADDITIONAL_CUMULATIVE","BK_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","BK_PERC_FULLY","BK_PERC_1PLUS","BK_PERC_ADDITIONAL","BK_PERC_BIVALENT_ADDITIONAL","BX_COUNT_FULLY_CUMULATIVE","BX_COUNT_1PLUS_CUMULATIVE","BX_COUNT_ADDITIONAL_CUMULATIVE","BX_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","BX_PERC_FULLY","BX_PERC_1PLUS","BX_PERC_ADDITIONAL","BX_PERC_BIVALENT_ADDITIONAL","MH_COUNT_FULLY_CUMULATIVE","MH_COUNT_1PLUS_CUMULATIVE","MH_COUNT_ADDITIONAL_CUMULATIVE","MH_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","MH_PERC_FULLY","MH_PERC_1PLUS","MH_PERC_ADDITIONAL","MH_PERC_BIVALENT_ADDITIONAL","QS_COUNT_FULLY_CUMULATIVE","QS_COUNT_1PLUS_CUMULATIVE","QS_COUNT_ADDITIONAL_CUMULATIVE","QS_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","QS_PERC_FULLY","QS_PERC_1PLUS","QS_PERC_ADDITIONAL","QS_PERC_BIVALENT_ADDITIONAL","SI_COUNT_FULLY_CUMULATIVE","SI_COUNT_1PLUS_CUMULATIVE","SI_COUNT_ADDITIONAL_CUMULATIVE","SI_COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","SI_PERC_FULLY","SI_PERC_1PLUS","SI_PERC_ADDITIONAL","SI_PERC_BIVALENT_ADDITIONAL"
2020-12-14,17,101,0,0,0,0,0,"<10",32,"<10","<10",0,0,0,0,"<10","<10","<10","<10",0,0,0,0,"<10",43,"<10","<10",0,0,0,0,"<10",11,"<10","<10",0,0,0,0,"<10","<10","<10","<10",0,0,0,0
2020-12-15,42,1686,1,0,0.02,0,0,"17",509,"<10","<10",0,0.02,0,0,"<10","125","<10","<10",0,0.01,0,0,"<10",648,"<10","<10",0,0.04,0,0,"<10",282,"<10","<10",0,0.01,0,0,"<10","122","<10","<10",0,0.03,0,0
2020-12-16,72,5211,2,0,0.06,0,0,"25",1361,"<10","<10",0,0.05,0,0,"11","379","<10","<10",0,0.03,0,0,"18",2113,"<10","<10",0,0.13,0,0,"11",981,"<10","<10",0,0.04,0,0,"<10","377","<10","<10",0,0.08,0,0
2020-12-17,98,9141,3,0,0.11,0,0,"34",2395,"<10","<10",0,0.09,0,0,"11","625","<10","<10",0,0.04,0,0,"29",3611,"<10","<10",0,0.22,0,0,"15",1864,"<10","<10",0,0.08,0,0,"<10","646","<10","<10",0,0.14,0,0
2020-12-18,140,13956,6,0,0.17,0,0,"53",3746,"<10","<10",0,0.15,0,0,"15","1024","<10","<10",0,0.07,0,0,"38",5261,"<10","<10",0,0.32,0,0,"23",2925,"<10","<10",0,0.13,0,0,"11","1000","<10","<10",0,0.21,0,0
2020-12-19,153,15380,7,0,0.18,0,0,"57",4094,"<10","<10",0,0.16,0,0,"15","1120","<10","<10",0,0.08,0,0,"41",5777,"<10","<10",0,0.35,0,0,"25",3270,"<10","<10",0,0.15,0,0,"15","1119","<10","<10",0,0.24,0,0
2020-12-20,163,16278,8,0,0.2,0,0,"61",4294,"<10","<10",0,0.17,0,0,"16","1179","<10","<10",0,0.08,0,0,"44",6098,"<10","<10",0,0.37,0,0,"26",3488,"<10","<10",0,0.15,0,0,"16","1219","<10","<10",0,0.26,0,0
2020-12-21,194,21812,12,0,0.26,0,0,"72",5424,"<10","<10",0,0.21,0,0,"18","1884","<10","<10",0,0.13,0,0,"51",7841,"<10","<10",0,0.48,0,0,"33",4667,"<10","<10",0,0.21,0,0,"20","1996","<10","<10",0,0.42,0,0
2020-12-22,234,29720,13,0,0.36,0,0,"88",7096,"<10","<10",0,0.28,0,0,"23","2911","<10","<10",0,0.21,0,0,"64",10614,"<10","<10",0,0.65,0,0,"37",6444,"<10","<10",0,0.29,0,0,"22","2655","<10","<10",0,0.56,0,0
2020-12-23,287,40920,15,0,0.49,0,0,"100",9292,"<10","<10",0,0.36,0,0,"30","4243","<10","<10",0,0.3,0,0,"78",14388,"<10","<10",0,0.88,0,0,"52",9685,"<10","<10",0,0.43,0,0,"27","3312","<10","<10",0.01,0.7,0,0
