"DATE","POPULATION","GROUP","SUBGROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL"
2022-11-10,"Children (0-17)","Age","'0-4",523718,"25168","23081","48249","18",4.81,4.41,9.21,0
2022-11-10,"Children (0-17)","Age","'5-12",747560,"55417","375933","431350","65699",7.41,50.29,57.7,8.79
2022-11-10,"Children (0-17)","Age","'13-17",432840,"42832","356982","399814","123463",9.9,82.47,92.37,28.52
2022-11-10,"Children (0-17)","Borough","Citywide",1704118,"123417","755996","879413","189180",7.24,44.36,51.61,11.1
2022-11-10,"Children (0-17)","Borough","Bronx",347020,"25655","146761","172416","26424",7.39,42.29,49.68,7.61
2022-11-10,"Children (0-17)","Borough","Brooklyn",575063,"31074","212484","243558","52871",5.4,36.95,42.35,9.19
2022-11-10,"Children (0-17)","Borough","Manhattan",231257,"32979","132117","165096","47122",14.26,57.13,71.39,20.38
2022-11-10,"Children (0-17)","Borough","Queens",447805,"28612","226573","255185","54265",6.39,50.6,56.99,12.12
2022-11-10,"Children (0-17)","Borough","Staten Island",102973,"5097","38061","43158","8498",4.95,36.96,41.91,8.25
2022-11-10,"Children (0-17)","Race/ethnicity","Asian/NHPI",216001,"16302","168173","184475","56043",7.55,77.86,85.4,25.95
2022-11-10,"Children (0-17)","Race/ethnicity","Black",373001,"21163","131272","152435","22797",5.67,35.19,40.87,6.11
2022-11-10,"Children (0-17)","Race/ethnicity","Hispanic/Latino",599599,"51873","254882","306755","46883",8.65,42.51,51.16,7.82
2022-11-10,"Children (0-17)","Race/ethnicity","Native American/Alaska Native",3842,"246","2687","2933","908",6.4,69.94,76.34,23.63
2022-11-10,"Children (0-17)","Race/ethnicity","Other",,"6445","24625","31070","3940",,,,
2022-11-10,"Children (0-17)","Race/ethnicity","Multiracial",56317,"572","3131","3703","622",1.02,5.56,6.58,1.1
2022-11-10,"Children (0-17)","Race/ethnicity","Unknown",,"7585","28426","36011","5879",,,,
2022-11-10,"Children (0-17)","Race/ethnicity","White",455358,"19231","142800","162031","52108",4.22,31.36,35.58,11.44
2022-11-10,"Children (0-17)","Sex","Female",834085,"59767","375277","435044","97099",7.17,44.99,52.16,11.64
2022-11-10,"Children (0-17)","Sex","Male",870033,"62686","377847","440533","91532",7.21,43.43,50.63,10.52
2022-11-10,"Children (0-17)","Sex","Other",,"52","192","244","52",,,,
2022-11-10,"Children (0-17)","Sex","Prefer not to answer",,"718","1902","2620","241",,,,
2022-11-10,"Children (0-17)","Sex","Unknown",,"194","778","972","256",,,,
2022-11-10,"Children (5-17)","Borough","Citywide",1180400,"98249","732915","831164","189162",8.32,62.09,70.41,16.03
2022-11-10,"Children (5-17)","Borough","Bronx",246821,"22229","145500","167729","26423",9.01,58.95,67.96,10.71
2022-11-10,"Children (5-17)","Borough","Brooklyn",392137,"23313","203355","226668","52866",5.95,51.86,57.8,13.48
2022-11-10,"Children (5-17)","Borough","Manhattan",155113,"24974","123953","148927","47116",16.1,79.91,96.01,30.38
2022-11-10,"Children (5-17)","Borough","Queens",310710,"23320","222422","245742","54261",7.51,71.59,79.09,17.46
2022-11-10,"Children (5-17)","Borough","Staten Island",75619,"4413","37685","42098","8496",5.84,49.84,55.67,11.24
2022-11-10,"Children (5-17)","Race/ethnicity","Asian/NHPI",148929,"9860","162326","172186","56037",6.62,109,115.62,37.63
2022-11-10,"Children (5-17)","Race/ethnicity","Black",266475,"18806","130193","148999","22793",7.06,48.86,55.91,8.55
2022-11-10,"Children (5-17)","Race/ethnicity","Hispanic/Latino",423992,"46417","252735","299152","46882",10.95,59.61,70.56,11.06
2022-11-10,"Children (5-17)","Race/ethnicity","Native American/Alaska Native",3156,"221","2673","2894","908",7,84.7,91.7,28.77
2022-11-10,"Children (5-17)","Race/ethnicity","Other",,"6166","24466","30632","3940",,,,
2022-11-10,"Children (5-17)","Race/ethnicity","Multiracial",35030,"255","2668","2923","621",0.73,7.62,8.34,1.77
2022-11-10,"Children (5-17)","Race/ethnicity","Unknown",,"6084","27545","33629","5879",,,,
2022-11-10,"Children (5-17)","Race/ethnicity","White",302818,"10440","130309","140749","52102",3.45,43.03,46.48,17.21
2022-11-10,"Children (5-17)","Sex","Female",578536,"47589","363750","411339","97088",8.23,62.87,71.1,16.78
2022-11-10,"Children (5-17)","Sex","Male",601864,"49719","366337","416056","91525",8.26,60.87,69.13,15.21
2022-11-10,"Children (5-17)","Sex","Other",,"51","192","243","52",,,,
2022-11-10,"Children (5-17)","Sex","Prefer not to answer",,"703","1867","2570","241",,,,
